abs,"\nabs( x:ndarray|ArrayLikeObject|number[, options:Object] )\n    Computes the absolute value.\n"
base.capitalize,"\nbase.capitalize( str:string )\n    Capitalizes the first character in a string.\n"
base.cbrt,"\nbase.cbrt( x:number )\n    Computes the cube root of a double-precision floating-point number.\n"
base.cbrtf,"\nbase.cbrtf( x:number )\n    Computes the cube root of a single-precision floating-point number.\n"
base.cceil,"\nbase.cceil( z:Complex128 )\n    Rounds each component of a double-precision complex floating-point number\n    toward positive infinity.\n"
base.cceilf,"\nbase.cceilf( z:Complex64 )\n    Rounds a single-precision complex floating-point number toward positive\n    infinity.\n"
base.cceiln,"\nbase.cceiln( z:Complex128, n:integer )\n    Rounds each component of a double-precision complex number to the nearest\n    multiple of `10^n` toward positive infinity.\n"
base.ccis,"\nbase.ccis( z:Complex128 )\n    Evaluates the cis function for a double-precision complex floating-point\n    number.\n"
base.cdiv,"\nbase.cdiv( z1:Complex128, z2:Complex128 )\n    Divides two double-precision complex floating-point numbers.\n"
base.ceil,"\nbase.ceil( x:number )\n    Rounds a double-precision floating-point number toward positive infinity.\n"
base.ceil2,"\nbase.ceil2( x:number )\n    Rounds a numeric value to the nearest power of two toward positive infinity.\n"
base.ceil10,"\nbase.ceil10( x:number )\n    Rounds a numeric value to the nearest power of ten toward positive infinity.\n"
base.ceilb,"\nbase.ceilb( x:number, n:integer, b:integer )\n    Rounds a numeric value to the nearest multiple of `b^n` toward positive\n    infinity.\n"
base.ceilf,"\nbase.ceilf( x:number )\n    Rounds a single-precision floating-point number toward positive infinity.\n"
base.ceiln,"\nbase.ceiln( x:number, n:integer )\n    Rounds a numeric value to the nearest multiple of `10^n` toward positive\n    infinity.\n"
base.ceilsd,"\nbase.ceilsd( x:number, n:integer, b:integer )\n    Rounds a numeric value to the nearest number toward positive infinity with\n    `n` significant figures.\n"
base.cexp,"\nbase.cexp( z:Complex128 )\n    Evaluates the exponential function for a double-precision complex floating-\n    point number.\n"
base.cflipsign,"\nbase.cflipsign( z:Complex128, y:number )\n    Returns a double-precision complex floating-point number with the same\n    magnitude as `z` and the sign of `y*z`.\n"
base.cflipsignf,"\nbase.cflipsignf( z:Complex64, y:number )\n    Returns a single-precision complex floating-point number with the same\n    magnitude as `z` and the sign of `y*z`.\n"
base.cfloor,"\nbase.cfloor( z:Complex128 )\n    Rounds a double-precision complex floating-point number toward negative\n    infinity.\n"
base.cfloorn,"\nbase.cfloorn( z:Complex128, n:integer )\n    Rounds each component of a double-precision complex floating-point number\n    to the nearest multiple of `10^n` toward negative infinity.\n"
base.cidentity,"\nbase.cidentity( z:Complex128 )\n    Evaluates the identity function for a double-precision complex floating-\n    point number.\n"
base.cidentityf,"\nbase.cidentityf( z:Complex64 )\n    Evaluates the identity function for a single-precision complex floating-\n    point number.\n"
base.cinv,"\nbase.cinv( z:Complex128 )\n    Computes the inverse of a double-precision complex floating-point number.\n"
base.clamp,"\nbase.clamp( v:number, min:number, max:number )\n    Restricts a double-precision floating-point number to a specified range.\n"
base.clampf,"\nbase.clampf( v:number, min:number, max:number )\n    Restricts a single-precision floating-point number to a specified range.\n"
base.cmul,"\nbase.cmul( z1:Complex128, z2:Complex128 )\n    Multiplies two double-precision complex floating-point numbers.\n"
base.cmulf,"\nbase.cmulf( z1:Complex64, z2:Complex64 )\n    Multiplies two single-precision complex floating-point numbers.\n"
base.cneg,"\nbase.cneg( z )\n    Negates a double-precision complex floating-point number.\n"
base.cnegf,"\nbase.cnegf( z )\n    Negates a single-precision complex floating-point number.\n"
base.codePointAt,"\nbase.codePointAt( str:string, idx:integer, backward:boolean )\n    Returns a Unicode code point from a string at a specified position.\n"
base.constantcase,"\nbase.constantcase( str:string )\n    Converts a string to constant case.\n"
base.continuedFraction,"\nbase.continuedFraction( generator:Function[, options:Object] )\n    Evaluates the continued fraction approximation for the supplied series\n    generator using the modified Lentz algorithm.\n"
base.copysign,"\nbase.copysign( x:number, y:number )\n    Returns a double-precision floating-point number with the magnitude of `x`\n    and the sign of `y`.\n"
base.copysignf,"\nbase.copysignf( x:number, y:number )\n    Returns a single-precision floating-point number with the magnitude of `x`\n    and the sign of `y`.\n"
base.cos,"\nbase.cos( x:number )\n    Computes the cosine of a number.\n"
base.cosd,"\nbase.cosd( x:number )\n    Computes the cosine of an angle measured in degrees.\n"
base.cosh,"\nbase.cosh( x:number )\n    Computes the hyperbolic cosine of a double-precision floating-point number.\n"
base.cosm1,"\nbase.cosm1( x:number )\n    Computes the cosine of a number minus one.\n"
base.cospi,"\nbase.cospi( x:number )\n    Computes the value of `cos(πx)`.\n"
base.cot,"\nbase.cot( x:number )\n    Computes the cotangent of a number.\n"
base.cotd,"\nbase.cotd( x:number )\n    Computes the cotangent of an angle measured in degrees.\n"
base.coth,"\nbase.coth( x:number )\n    Computes the hyperbolic cotangent of a number.\n"
base.covercos,"\nbase.covercos( x:number )\n    Computes the coversed cosine.\n"
base.coversin,"\nbase.coversin( x:number )\n    Computes the coversed sine.\n"
base.cphase,"\nbase.cphase( z:Complex128 )\n    Computes the argument of a double-precision complex floating-point number\n    in radians.\n"
base.cpolar,"\nbase.cpolar( z:Complex128 )\n    Returns the absolute value and phase of a double-precision complex\n    floating-point number.\n"
base.cpolar.assign,"\nbase.cpolar.assign( z:Complex128, out:Array|TypedArray|Object, stride:integer, \n  offset:integer )\n    Returns the absolute value and phase of a double-precision complex\n    floating-point number and assigns results to a provided output array.\n"
base.cround,"\nbase.cround( z:Complex128 )\n    Rounds each component of a double-precision complex floating-point number\n    to the nearest integer.\n"
base.croundn,"\nbase.croundn( z:Complex128, n:integer )\n    Rounds each component of a double-precision complex floating-point number\n    to the nearest multiple of `10^n`.\n"
base.csc,"\nbase.csc( x:number )\n    Computes the cosecant of a number.\n"
base.cscd,"\nbase.cscd( x:number )\n    Computes the cosecant of a degree.\n"
base.csch,"\nbase.csch( x:number )\n    Computes the hyperbolic cosecant of a number.\n"
base.csignum,"\nbase.csignum( z:Complex128 )\n    Evaluates the signum function of a double-precision complex floating-point\n    number.\n"
base.csub,"\nbase.csub( z1:Complex128, z2:Complex128 )\n    Subtracts two double-precision complex floating-point numbers.\n"
base.csubf,"\nbase.csubf( z1:Complex64, z2:Complex64 )\n    Subtracts two single-precision complex floating-point numbers.\n"
base.deg2rad,"\nbase.deg2rad( x:number )\n    Converts an angle from degrees to radians.\n"
base.deg2radf,"\nbase.deg2radf( x:number )\n    Converts an angle from degrees to radians (single-precision).\n"
base.digamma,"\nbase.digamma( x:number )\n    Evaluates the digamma function.\n"
base.diracDelta,"\nbase.diracDelta( x:number )\n    Evaluates the Dirac delta function.\n"
base.div,"\nbase.div( x:number, y:number )\n    Divides two double-precision floating-point numbers `x` and `y`.\n"
base.divf,"\nbase.divf( x:number, y:number )\n    Divides two single-precision floating-point numbers `x` and `y`.\n"
base.dotcase,"\nbase.dotcase( str:string )\n    Converts a string to dot case.\n"
base.dists.arcsine.Arcsine,"\nbase.dists.arcsine.Arcsine( [a:number, b:number] )\n    Returns an arcsine distribution object.\n"
base.dists.arcsine.cdf,"\nbase.dists.arcsine.cdf( x:number, a:number, b:number )\n    Evaluates the cumulative distribution function (CDF) for an arcsine\n    distribution with minimum support `a` and maximum support `b` at a value\n    `x`.\n"
base.dists.arcsine.cdf.factory,"\nbase.dists.arcsine.cdf.factory( a:number, b:number )\n    Returns a function for evaluating the cumulative distribution function (CDF)\n    of an arcsine distribution with minimum support `a` and maximum support `b`.\n"
base.dists.arcsine.entropy,"\nbase.dists.arcsine.entropy( a:number, b:number )\n    Returns the differential entropy of an arcsine distribution (in nats).\n"
base.dists.arcsine.kurtosis,"\nbase.dists.arcsine.kurtosis( a:number, b:number )\n    Returns the excess kurtosis of an arcsine distribution.\n"
base.dists.arcsine.logcdf,"\nbase.dists.arcsine.logcdf( x:number, a:number, b:number )\n    Evaluates the logarithm of the cumulative distribution function (CDF) for an\n    arcsine distribution with minimum support `a` and maximum support `b` at a\n    value `x`.\n"
base.dists.arcsine.logcdf.factory,"\nbase.dists.arcsine.logcdf.factory( a:number, b:number )\n    Returns a function for evaluating the logarithm of the cumulative\n    distribution function (CDF) of an arcsine distribution with minimum support\n    `a` and maximum support `b`.\n"
base.dists.arcsine.logpdf,"\nbase.dists.arcsine.logpdf( x:number, a:number, b:number )\n    Evaluates the logarithm of the probability density function (PDF) for an\n    arcsine distribution with minimum support `a` and maximum support `b` at a\n    value `x`.\n"
base.dists.arcsine.logpdf.factory,"\nbase.dists.arcsine.logpdf.factory( a:number, b:number )\n    Returns a function for evaluating the logarithm of the probability density\n    function (PDF) of an arcsine distribution with minimum support `a` and\n    maximum support `b`.\n"
base.dists.arcsine.mean,"\nbase.dists.arcsine.mean( a:number, b:number )\n    Returns the expected value of an arcsine distribution.\n"
base.dists.arcsine.median,"\nbase.dists.arcsine.median( a:number, b:number )\n    Returns the median of an arcsine distribution.\n"
base.dists.arcsine.mode,"\nbase.dists.arcsine.mode( a:number, b:number )\n    Returns the mode of an arcsine distribution.\n"
base.dists.arcsine.pdf,"\nbase.dists.arcsine.pdf( x:number, a:number, b:number )\n    Evaluates the probability density function (PDF) for an arcsine distribution\n    with minimum support `a` and maximum support `b` at a value `x`.\n"
base.dists.arcsine.pdf.factory,"\nbase.dists.arcsine.pdf.factory( a:number, b:number )\n    Returns a function for evaluating the probability density function (PDF) of\n    an arcsine distribution with minimum support `a` and maximum support `b`.\n"
base.dists.arcsine.quantile,"\nbase.dists.arcsine.quantile( p:number, a:number, b:number )\n    Evaluates the quantile function for an arcsine distribution with minimum\n    support `a` and maximum support `b` at a probability `p`.\n"
base.dists.arcsine.quantile.factory,"\nbase.dists.arcsine.quantile.factory( a:number, b:number )\n    Returns a function for evaluating the quantile function of an arcsine\n    distribution with minimum support `a` and maximum support `b`.\n"
base.dists.arcsine.skewness,"\nbase.dists.arcsine.skewness( a:number, b:number )\n    Returns the skewness of an arcsine distribution.\n"
base.dists.arcsine.stdev,"\nbase.dists.arcsine.stdev( a:number, b:number )\n    Returns the standard deviation of an arcsine distribution.\n"
base.dists.arcsine.variance,"\nbase.dists.arcsine.variance( a:number, b:number )\n    Returns the variance of an arcsine distribution.\n"
base.dists.bernoulli.Bernoulli,"\nbase.dists.bernoulli.Bernoulli( [p:number] )\n    Returns a Bernoulli distribution object.\n"
base.dists.bernoulli.cdf,"\nbase.dists.bernoulli.cdf( x:number, p:number )\n    Evaluates the cumulative distribution function (CDF) for a Bernoulli\n    distribution with success probability `p` at a value `x`.\n"
base.dists.bernoulli.cdf.factory,"\nbase.dists.bernoulli.cdf.factory( p:number )\n    Returns a function for evaluating the cumulative distribution function (CDF)\n    of a Bernoulli distribution with success probability `p`.\n"
base.dists.bernoulli.entropy,"\nbase.dists.bernoulli.entropy( p:number )\n    Returns the entropy of a Bernoulli distribution with success probability\n    `p` (in nats).\n"
base.dists.bernoulli.kurtosis,"\nbase.dists.bernoulli.kurtosis( p:number )\n    Returns the excess kurtosis of a Bernoulli distribution with success\n    probability `p`.\n"
base.dists.bernoulli.mean,"\nbase.dists.bernoulli.mean( p:number )\n    Returns the expected value of a Bernoulli distribution with success\n    probability `p`.\n"
base.dists.bernoulli.median,"\nbase.dists.bernoulli.median( p:number )\n    Returns the median of a Bernoulli distribution with success probability `p`.\n"
base.dists.bernoulli.mgf,"\nbase.dists.bernoulli.mgf( t:number, p:number )\n    Evaluates the moment-generating function (MGF) for a Bernoulli\n    distribution with success probability `p` at a value `t`.\n"
